run_date,data_date,primary_regime,primary_score,risk_on_score,risk_off_score,recession_scare_score,inflation_shock_score,rates_shock_score,goldilocks_score,commodity_reflation_score,stagflation_score,dollar_squeeze_score,credit_stress_score,defensive_rotation_score,tech_led_risk_on_score,safe_haven_bid_score,energy_supply_shock_score,em_stress_score,neutral_mixed_score
2026-07-22,2026-07-22,Risk-On / Pro-Growth,80.0,80.0,4.5,0.0,31.0,7.7,39.9,76.9,36.9,11.8,6.6,7.2,76.9,23.2,60.2,7.2,20.0
2026-07-23,2026-07-23,Defensive Rotation,90.9,10.5,38.8,33.2,50.0,25.0,5.6,28.6,66.4,29.4,38.8,90.9,12.7,14.3,74.4,27.9,9.1
2026-07-24,2026-07-24,Defensive Rotation,59.2,31.0,41.6,19.9,23.2,25.0,19.9,42.9,49.1,19.2,28.7,59.2,34.0,15.5,46.5,7.9,40.8
2026-07-27,2026-07-27,Defensive Rotation,76.1,40.0,36.4,46.5,19.8,21.5,57.1,53.8,15.4,11.8,19.8,76.1,19.0,35.8,17.2,23.7,23.9
2026-07-28,2026-07-28,Neutral / Mixed,59.7,24.8,22.2,53.1,13.2,28.7,26.6,28.6,24.6,41.7,31.0,59.2,5.9,54.3,10.0,37.2,59.7
2026-07-29,2026-07-29,Defensive Rotation,81.8,6.2,52.9,73.1,19.8,28.7,24.6,21.5,33.2,44.2,31.0,81.8,23.6,75.0,50.0,55.8,18.2
2026-07-30,2026-07-30,Defensive Rotation,90.9,24.8,60.9,33.2,66.7,58.3,26.6,42.9,66.4,22.1,28.7,90.9,19.0,28.7,34.4,46.5,9.1
2026-07-31,2026-07-31,Tech-Led Risk-On,76.9,73.3,13.5,12.3,14.3,14.3,50.0,53.8,22.6,0.0,6.0,7.2,76.9,7.2,7.9,7.2,23.1
2026-08-03,2026-08-03,Rates Shock / Higher-for-Longer,66.7,60.0,16.6,11.3,62.0,66.7,33.2,61.5,43.0,14.7,14.3,33.8,7.2,28.7,18.6,25.8,33.3
2026-08-04,2026-08-04,Rates Shock / Higher-for-Longer,66.7,60.0,16.6,11.3,62.0,66.7,33.2,61.5,36.9,14.7,14.3,25.4,14.5,14.3,8.6,17.2,33.3
2026-08-05,2026-08-05,Tech-Led Risk-On,86.9,62.0,19.4,46.5,0.0,6.0,59.8,42.9,6.1,6.4,19.8,15.6,86.9,69.8,8.6,7.2,13.1
2026-08-06,2026-08-06,Neutral / Mixed,58.8,17.2,47.1,36.9,28.7,35.8,24.6,28.6,39.9,39.2,58.3,50.7,11.8,58.3,30.0,46.5,58.8
2026-08-07,2026-08-07,Defensive Rotation,72.7,18.6,27.7,28.6,50.0,58.3,19.9,30.8,53.1,34.4,23.2,72.7,34.0,28.7,55.8,46.5,27.3
2026-08-10,2026-08-10,Tech-Led Risk-On,76.9,60.0,20.8,22.6,19.8,13.2,57.1,61.5,12.3,6.9,13.2,21.5,76.9,46.5,9.3,15.8,23.1
2026-08-11,2026-08-11,Energy Supply Shock,83.7,24.8,22.2,12.3,75.0,66.7,6.6,46.2,73.1,31.4,31.0,33.8,19.0,21.5,83.7,30.0,16.3
2026-08-12,2026-08-12,Defensive Rotation,76.1,24.8,26.0,39.9,28.7,21.5,33.2,38.5,30.7,14.7,26.3,76.1,34.0,46.5,55.8,17.2,23.9
2026-08-13,2026-08-13,Defensive Rotation,59.2,40.0,15.6,39.9,6.6,0.0,42.9,46.2,11.3,25.6,0.0,59.2,53.8,23.2,18.6,23.7,40.8
2026-08-14,2026-08-14,Safe-Haven Bid,83.3,37.2,35.3,71.4,13.2,6.6,46.5,35.8,33.2,27.5,21.5,54.5,57.9,83.3,30.0,34.4,16.7
2026-08-17,2026-08-17,Commodity Reflation,61.5,24.8,20.8,24.6,46.5,31.0,26.6,61.5,36.9,5.9,21.5,50.7,31.7,28.7,37.2,0.0,38.5
